Population code,Species,Reidentification,Reidentifier,Notes,Collector + number,Provider identifier,Locality,Country,State,County,Latitude,Longitude,GPS source,,# individuals,Verbatim latitude,Verbatim longitude,Provider acronym,,Qubit 1,Qubit 2,Qubit average,Qubit 1 (Cleaned),Qubit 2 (Cleaned) ,Qubit average (Cleaneed,Cleaned to 50𝜇l,DNA in tube (ng),"uL for 0.5 ug DNA (if over 123 uL, use whole sample)",Amount of TE to add,Library made,Note
E17,Heuchera americana var. americana,,,,Whetstone 9941,UNA00050143,"S. of Ironaton along Mump Ck.; T19S, R6E, Sect. 10. Seeps and bottoms along creek & tributaries; slate bedrock",,AL,Talladega,33.3967079,-86.1597137,County centroid,,1,,,UNA,,3.61,3.54,3.575,,,,,439.725,Use whole sample,Vacuum centrifuge then add 25 uL,,
E18,Heuchera americana var. americana,,,,Keener 183a,UNA00053835,"4.5 air mi. NE of Oneonta. Taits Gap off of Co. 20, 0.5 miles from jct. with AL 132",,AL,Blount,33.97194,-86.39861,SERNEC,,1,33.97194,-86.39861,UNA,,18.2,18.1,18.15,,,,,2232.45,27.54820937,Vacuum centrifuge then add 25 uL,,
E19,Heuchera americana var. americana,,,,Keener 2779,UNA00064942,Sandstone outcrop. Common. 3.5 air mi. N of Wattsville. W side of US Hwy 231 about 2 miles S of jct. with Co. Rd. 22. ,,AL,St. Clair,33.72833,-86.28638,SERNEC,,1,33.72833,-86.28638,UNA,,8.53,8.39,8.46,,,,,1040.58,59.10165485,Vacuum centrifuge then add 25 uL,,
E20,Heuchera missouriensis,,,,Keener 1686,UNA00054506,Rich woods down in shady ravine. Growing out of sandstone face. 1.5 air mi. N of Cleveland. North end of residential development. Off of US 231.T12S R1E S7,,AL,Blount,34.01361,-86.58222,SERNEC,,1,34.01361,-86.58222,UNA,,6.95,6.79,6.87,,,,,845.01,72.78020378,Vacuum centrifuge then add 25 uL,,
E21,Heuchera missouriensis,,,,Keener 343,UNA00053955,Sandstone face shaded by rich acid woods on slope among sandstone rubble. Plant growing in sandstone crevice. 1.5 air mi. W of Cleveland Swan Covered Bridge along the Locust Fork,,AL,Blount,33.99694,-86.60194,SERNEC,,1,33.99694,-86.60194,UNA,,18,17.2,17.6,,,,,2164.8,28.40909091,Vacuum centrifuge then add 25 uL,,
E22,Heuchera missouriensis,,,,Harvill 182,UNA00014708,On the face of a pottsville sand-stohne rockhouse at King Cove about 5 miles east of the southwest corner of Lawrence County. ,,AL,Lawrence,34.33083,-87.4625,SERNEC,,1,34.33083,-87.4625,UNA,,5.29,5.04,5.165,,,,,635.295,96.8054211,Vacuum centrifuge then add 25 uL,,
E23,Heuchera missouriensis,,,,Harvill 122,UNA00014707,On sandstone below the falls at Long Island Gulf.,,AL,Jackson,34.76667,-86,SERNEC,,1,34.76667,-86,UNA,,2.33,2.25,2.29,,,,,281.67,Use whole sample,Vacuum centrifuge then add 25 uL,,
E24,Heuchera missouriensis,,,,Harvill 133,UNA00014706,Growing on sandstone below the falls at Yellow Creek Falls about 6 miles North of Centre,,AL,Cherokee,34.22722,-85.73083,SERNEC,,1,34.22722,-85.73083,UNA,,2.54,2.53,2.535,,,,,311.805,Use whole sample,Vacuum centrifuge then add 25 uL,,
E25,Heuchera missouriensis,,,Glaborous petiole,Harvill 185,UNA00014703,At Mountain Home about 8 miles north of Moulton on Hartselle sand stone. ,,AL,Lawrence,34.57944,-87.26611,SERNEC,,1,34.57944,-87.26611,UNA,,2.8,2.66,2.73,,,,,335.79,Use whole sample,Vacuum centrifuge then add 25 uL,,
E26,Heuchera villosa,,,,Haynes 8214,UNA00053969,Mixed forest; soil type: Muskingham; Cumberland Plateau Physiographic Province. Flowers white; abundant locally on rocks. 24.5 air mi. SW of Courtland. Bankhead National Forest; Bee Branch Recreation Area,,AL,Lawrence,34.3375,-87.44695,SERNEC,,1,34.3375,-87.44695,UNA,,2.8,2.82,2.81,,,,,345.63,Use whole sample,Vacuum centrifuge then add 25 uL,,
E27,Heuchera villosa,,,,Crawford 5956,UNA00014714,At Dismal Falls 6 miles north of Hackleburg,,AL,Franklin,34.32278,-87.78167,SERNEC,,1,34.32278,-87.78167,UNA,,2.5,2.47,2.485,,,,,305.655,Use whole sample,Vacuum centrifuge then add 25 uL,,
E28,Heuchera longiflora var. longiflora,,,,Kral 46048,UNA00017511,"Wooded sandy banks of creek by US 280, ca. 1 mi. SE Scylacauga past jct. US 231. ",,AL,Talladega,33.3967079,-86.1597137,County centroid,,1,,,UNA,,7.51,7.55,7.53,,,,,926.19,66.40106242,Vacuum centrifuge then add 25 uL,,
E29,Heuchera parviflora var. parviflora,,,,Spooner 2261,UNA00047366,"Frequent on N-facing sandstone exposures at base of valley of Williams Creek, for ca. 0.2 mi, centered 250 ft. S., Co. Rt. 12 (Williams Creek Rd.), 0.45 mi NNE, jct. of this rt. and St. Rt. 218, W-central portion, Sect 20, Guyan Twp.",,OH,Gallia ,38.7952465,-82.3556216,County centroid,,1,,,UNA,,2.76,2.57,2.665,,,,,327.795,Use whole sample,Vacuum centrifuge then add 25 uL,,
E30,Heuchera villosa,,,,Rodgers 67208,UNA00014711,Abundant around seeping rocks about 2 miles south of Ceasar's Head.,,SC,Greenville,34.851354,-82.3984882,County centroid,,1,,,UNA,,1.22,1.19,1.205,,,,,148.215,Use whole sample,Vacuum centrifuge then add 25 uL,,
E31,Heuchera villosa,,,,Duncan 10091,UNA00014712,"On rocks in moist, shaded area t end of cliff. On rocks at top of cliff of Glade Mt. in NE corner of county. Elevation about 3,100 feet.",,GA,Rabun,34.8796123,-83.4251357,County centroid,,1,,,UNA,,2.66,2.65,2.655,,,,,326.565,Use whole sample,Vacuum centrifuge then add 25 uL,,
E32,Heuchera villosa,,,,Duncan 5520,UNA00014710,"NW of summit, Brasstown Bald. Elev. about 4,750 feet.",,GA,Union,34.8180274,-83.9903969,County centroid,,1,,,UNA,,1.41,1.4,1.405,,,,,172.815,Use whole sample,Vacuum centrifuge then add 25 uL,,
E33,Heuchera villosa,,,,Kral 51000,UNA00021758,"Sandstone bluffs by I-40, just e. of Monterey on escarpment. ",,TN,Putman,36.5568707,-82.5760188,County centroid,,1,,,UNA,,6.16,6.14,6.15,,,,,756.45,81.30081301,Vacuum centrifuge then add 25 uL,,
E34,Heuchera villosa,,,,Spooner 2350h,UNA00047371,"Frequent, on N-facing sandstone exposures at base of valley of Williams Creek, for ca. 0.2 mi., centered 250 ft. S., Co. Rt. 12 (Williams Creek Rd.), 0.45 mi. NNE, jct. of this rt. and St. Rt. 218, W-central portion, Sect. 20, Guyan Twp.",,OH,Gallia ,38.7952465,-82.3556216,County centroid,,1,,,UNA,,5.8,5.74,5.77,,,,,709.71,86.65511265,Vacuum centrifuge then add 25 uL,,
E35,Heuchera caroliniana,,,,Haesloop 504,UNA00014676,"1/16 of mile off of Rt. 49 on Rt. 1502. right on 1505, one mile to creek bridge",,NC,Stanly,35.3235477,-80.2391366,County centroid,,1,,,UNA,,5.18,5.22,5.2,,,,,639.6,96.15384615,Vacuum centrifuge then add 25 uL,,
E36,Heuchera americana var. americana,,,,Horn 1644,UNA00014678,Lynch's Woods. Off of US 76; 0.7 mi S of SC 219. Newberry City limits. Common along edge of stream,,SC,Newberry,34.3266879,-81.5830086,County centroid,,1,,,UNA,,12.9,12.4,12.65,,,,,1555.95,39.5256917,Vacuum centrifuge then add 25 uL,,
E37,Heuchera bracteata,,,,Spaulding 12673,UNA00069093,"Ponderosa Pine-Douglas-Fir forest on west facing, rocky slop eof Panorama Peak at Jellystone Park campground off SR-36 east of Estes Park. Southern Rocky Mountains province. Vernacular name: Rocky Mountain Alumroot",,CO,Larimer,40.3405556,-104.56972,SERNEC,,1,40.3405556,-104.56972,UNA,,6.7,6.51,6.605,,,,,812.415,75.7002271,Vacuum centrifuge then add 25 uL,,
E38,Heuchera bracteata,,,,Miller 7014,UNA00023616,7.8 mi S of Interstate 70 on Colorado route 103. Herb; old inflorescences brown.,,CO,Clear Creek,39.7,-104.36667,SERNEC,,1,39.7,-104.36667,UNA,,4.24,4.03,4.135,,,,,508.605,120.9189843,Vacuum centrifuge then add 25 uL,,
E39,Heuchera micrantha,,,,Halse 1996,UNA00069387,"Siuslaw National Forest; on rocky cliffs just below the summit of Prairie Peak, 7 air miles south of Alsea in the Coast Range. Elev. 1005 m. T 15S R08W Sec 12",,OR,Lane,43.9314567,-122.8575849,County centroid,,1,,,UNA,,4.24,4.16,4.2,,,,,516.6,119.047619,Vacuum centrifuge then add 25 uL,,
E40,Heuchera micrantha,,,,Harvey 351,UNA00014695,"Abundant at Clearwater campground off Hwy N92 between Clearwater Creek and Muddy River. T8N, R6E, Sec. 14. Petals and sepals white",,WA,Skamania,45.966211,-121.9278867,County centroid,,1,,,UNA,,22.1,21.1,21.6,,,,,2656.8,23.14814815,1.851851852,,
E41,Symphyotrichum patens var. patens,,,,Keener 4018,UNA00068750,Margin of upland Oak-Hickory-Pine woods. 1.75 air mi. SW of Fergusons Crossroads. Hyatt Gap; Along side of Co. Rd 44 ca. 0.25 mi. N of jct. with Co. Rd. 35.,,AL,St. Clair,33.9261111,-86.31473,SERNEC,,1,33.9261111,-86.31473,UNA,,20.6,20.4,20.5,,,,,2521.5,24.3902439,0.6097560976,,
E42,Symphyotrichum patens var. patens,,,,Barger 266,UNA00068996,Nesom. Late purple Aster. Near N33 59.673 W85 28.250; on south side of Co. Rd. 8; roadside,,AL,Cherokee,33.99455,-85.47083,SERNEC,,1,33.99455,-85.47083,UNA,,10.5,10.4,10.45,,,,,1285.35,47.84688995,Vacuum centrifuge then add 25 uL,,
E43,Symphyotrichum patens var. patens,,,,Keener 3061,UNA00068829,Dry road embankment and margin of Oak-Hickory-Pine woods. 1.75 air mi. NE of Ferguson Crossroad. Camp Sumatanga Lake. Off of Co. Rd. 44 approx. 2 mi. E of jct. with Co. Rd. 35,,AL,St. Clair,33.95611,-86.2675,SERNEC,,1,33.95611,-86.2675,UNA,,13.8,13.4,13.6,,,,,1672.8,36.76470588,Vacuum centrifuge then add 25 uL,,
E44,Symphyotrichum patens var. patens,,,,England 989,UNA00069282,Roadside ditch. 0.93 air mi. SW of Octagon. Along E side of Octagon Rd. approx. 1.03 NE of jct. with AL Hwy 13.,,AL,Marengo,32.19556,-87.7675,SERNEC,,1,32.19556,-87.7675,UNA,,11.2,11.1,11.15,,,,,1371.45,44.84304933,Vacuum centrifuge then add 25 uL,,
E45,Symphyotrichum patens var. gracile,,,Low QC,Gunn 1371,UNA00044994,"Blue Bluff, at Corps of Engineers' Holy Ground Battlefield Park, on S shore of Alabama River, ca. 2 1/4 mi. NE Whitehall, in T16N, R14E, secs. 19 & 20. Uncommon here, in sandy humus of slope in partial shade; rays purple",,AL,Lowndes,32.35361,-86.69083,SERNEC,,1,32.35361,-86.69083,UNA,,38.1,36.3,37.2,,,,,4575.6,13.44086022,11.55913978,,
E46,Symphyotrichum patens var. patens,,,Low QC,Maginness 102,UNA00044995,"Junct. Hwy 69 and county road 25. Open, sunny field; dark, moist prairie soil. Common",,AL,Hale,32.7412417,-87.6561668,County centroid,,1,,,UNA,,47.4,46,46.7,,,,,5744.1,10.70663812,14.29336188,,
E47,Symphyotrichum patens,,,Low QC,Nixon 3209,UNA00045002,"Jct. U.S. Hwy 431 and dirt road; Roadside and dry hillside. T18S, R10E, NW corner of sect. 10.",,AL,Randolph,33.2651763,-85.4693961,County centroid,,1,,,UNA,,42.7,41.3,42,,,,,5166,11.9047619,13.0952381,,
E48,Symphyotrichum patens,,,Low QC,Brodeur 1494,UNA00064047,NE of Woodville along co. rd. 63; ca. 2 miles S. of Pleasant Grove. Disturbed limestone outcrop; drainage area. ,,AL,Jackson,34.65278,-86.26723,SERNEC,,1,34.65278,-86.26723,UNA,,23.9,23.5,23.7,,,,,2915.1,21.09704641,3.902953586,,
E49,Symphyotrichum patens var. gracile,,,Low QC,Gunn 1344,UNA00044992,"Gullett's Bluff, on south/east shore of Alabama River, ca. 8 1/4 mi. Fairly common, in dry prairie clay-sandy coastal plains soil-humus in open woods at top of bluff; rays purple. SW Camden, in T11N, R14E, Sec. 20.",,AL,Wilcox,31.90833,-87.38055,SERNEC,,1,31.90833,-87.38055,UNA,,17,16.8,16.9,,,,,2078.7,29.58579882,Vacuum centrifuge then add 25 uL,,
E50,Symphyotrichum patens var. gracile,,,,Gunn 1202,UNA00044993,"Jones Bluff, W shore Ala. River, ca. 4 mi. N Jones Bluff Dam, SSE Statesville, in T16N, R14E, Sec. 8. In dry, sunny prairie clay of slope; rays purple. ",,AL,Autauga ,32.3975,-86.77195,SERNEC,,1,32.3975,-86.77195,UNA,,37.5,37.3,37.4,,,,,4600.2,13.36898396,11.63101604,,
E51,Symphyotrichum patens var. patens,,,Low QC,Thomas 879,UNA00044997,Tuscaloosa County Public Lake. Moderately common.,,AL,Tuscaloosa,33.29667,-87.6775,SERNEC,,1,33.29667,-87.6775,UNA,,20.1,19.5,19.8,,,,,2435.4,25.25252525,Vacuum centrifuge then add 25 uL,,
E52,Symphyotrichum patens var. patens,,,Low QC,Viccars s.n.,UNA00045000,No data.,,AL,Elmore ,,,County centroid,,1,,,UNA,,21.4,20.2,20.8,,,,,2558.4,24.03846154,0.9615384615,,
E53,Symphyotrichum patens var. gracile,,,Low QC,Deramus D788,UNA00044991,Near east end of Bienville Blvd. Moist roadside near pine forest. ,,AL,Mobile,30.25028,-88.08,SERNEC,,1,30.25028,-88.08,UNA,,27.3,26.7,27,,,,,3321,18.51851852,6.481481481,,
E54,Symphyotrichum patens,,,,MacDonald 12157,UNA00056178,vic. of Springhill; Hwy. 49 at 2.0 mi. S of Russell Co. line,,AL,Barbour,32.120555,-85.38222,SERNEC,,1,32.120555,-85.38222,UNA,,47.2,47.5,47.35,,,,,5824.05,10.55966209,14.44033791,,
E55,Symphyotrichum patens,,,,Diamond 14782,UNA00063609,Un-numbered dirt road south of Panther Creek. Disturbed sandy soil of clear cut. Full sun. Moodys Crossroads Quad.,,AL,Crenshaw ,31.6475,-85.613056,SERNEC,,1,31.6475,-85.613056,UNA,,18.1,17.9,18,,,,,2214,27.77777778,Vacuum centrifuge then add 25 uL,,
E56,Symphyotrichum adnatum,,,,Diamond 14255,UNA00062196,"Un-numbered dirt road ca. 300 feet north of Alabama Hwy. 106. Clear cut. Full sun, moist sandy soil. Scattered. Moodys crossroads Quad.",,AL,Crenshaw ,31.6272222,-85.541944,SERNEC,,1,31.6272222,-85.541944,UNA,,7.45,7.22,7.335,,,,Yes,352.08,Use whole sample,Vacuum centrifuge then add 25 uL,,
E57,Symphyotrichum adnatum,,,,Zebryk 8128,UNA00060451,"2 air mi. S of Fowl River. Coden; County Hwy. 59, SE of junction with Montee Road. Elevation 30 ft.",,AL,Mobile,30.4386111,-87.837222,SERNEC,,1,30.4386111,-87.837222,UNA,,13,13,13,,,,,1599,38.46153846,Vacuum centrifuge then add 25 uL,,
E58,Symphyotrichum adnatum,,,,Harper 4099,UNA00045065,Pine woods between South-port and Orange. ,,AL,Baldwin,30.75,-87.76667,SERNEC,,1,30.75,-87.76667,UNA,,--,--,#DIV/0!,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,,
E59,Symphyotrichum adnatum,,,Low QC,Diamond 14877,UNA00064332,Un-numbered dirt road approx. .2 mile east of Bethesda Church. Dry sandy longleaf pine woods. Loango Quad.,,AL,Covington,31.2963889,-85.331667,SERNEC,,1,31.2963889,-85.331667,UNA,,12,12.2,12.1,,,,,1488.3,41.32231405,Vacuum centrifuge then add 25 uL,,
E60,Symphyotrichum adnatum,,,,Keener 4008,UNA00068746,Margin of roadside. Sandy acidic soil. 3.5 air mi. SW of Livingston. At jct. of Pine Grove Road and US Hwy 11.,,AL,Sumter,32.5491667,-87.768333,SERNEC,,1,32.5491667,-87.768333,UNA,,20.9,21,20.95,,,,,2576.85,23.86634845,1.133651551,,
E61,Symphyotrichum concolor,,,,Nixon 3203,UNA00044885,"Jct. U.S. Hwy. 431 and dirt road: T18S, R10E, NW corner of sect. 10. Roadside and dry hillside.",,AL,Randolph,33.2651763,-85.4693961,County centroid,,1,,,UNA,,20.5,20,20.25,,,,Yes,972,24.69135802,0.3086419753,,
E62,Symphyotrichum concolor,,,Low QC,Diamond 14257,UNA00062194,"Un-numbered dirt road ca. 300 feet north of Alabama Hwy. 106. Clear cut. Full sun, moist sandy soil. Scattered. Moodys crossroads Quad.",,AL,Crenshaw ,31.6272222,-85.541944,SERNEC,,1,31.6272222,-85.541944,UNA,,18.8,19.4,19.1,,,,,2349.3,26.17801047,Vacuum centrifuge then add 25 uL,,
E63,Symphyotrichum concolor,,,Low QC,Brodeur 1505,UNA00064111,Ca. 2 1/2 miles E. of jct. AL-79. Open sandstone outcrop under powerline r-o-w; maintained; plants in full sun. ,,AL,Jackson,34.8519722,-85.950611,SERNEC,,1,34.8519722,-85.950611,UNA,,26.1,24.6,25.35,,,,,3118.05,19.72386588,5.276134122,,
E64,Symphyotrichum concolor,,,,Johnson 4069,UNA00066410,Blue Lake,,AL,Covington,31.26667,-86.45,SERNEC,,1,31.26667,-86.45,UNA,,9.46,8.9,9.18,,,,Yes,440.64,Use whole sample,Vacuum centrifuge then add 25 uL,,
E65,Symphyotrichum concolor,,,,Diamond 17231,UNA00066192,"Butler County Hwy. 53, 1.1 miles north of the Covington County line. Sandy xeric soil of young pine plantation. ",,AL,Bulter,31.5313889,-85.409167,SERNEC,,1,31.5313889,-85.409167,UNA,,8.85,8.63,8.74,,,,Yes,419.52,Use whole sample,Vacuum centrifuge then add 25 uL,,
E66,Symphyotrichum concolor,,,,Keener 3235,UNA00066947,3.5 air mi. N of Wattsville. W side of US Hwy 231 about 2 miles S of jct. with Co. Rd. 22.,,AL,St. Clair,33.7283333,-85.713611,SERNEC,,1,33.7283333,-85.713611,UNA,,12,11.7,11.85,,,,Yes,568.8,42.19409283,Vacuum centrifuge then add 25 uL,,
E67,Symphyotrichum concolor,,,Low QC,McDaniel 22973,UNA00044893,"Ca. 2.5 mi ese Fyffe, NW4, S23, vic. Chitwood Bog, partially cleared hickory-pine woods, scattered, common, rays bright blue. ",,AL,Dekalb,34.40972,-85.87473,SERNEC,,1,34.40972,-85.87473,UNA,,13.5,11.2,12.35,,,,,1519.05,40.48582996,Vacuum centrifuge then add 25 uL,,
E68,Symphyotrichum concolor,,,Low QC,Kral 41741,UNA00044892,"Sandy clay of oak pine hills by Ala. 5, 10.5 mi. N. Centerville. ",,AL,Bibb,33.08944,-87.13333,SERNEC,,1,33.08944,-87.13333,UNA,,2.9,2.91,2.905,,,,Yes,139.44,Use whole sample,Vacuum centrifuge then add 25 uL,,
E69,Symphyotrichum concolor,,,Low QC,Kral 37683,UNA00044888,"Rays violet, vary vivid; sandy oak-pine woods 2.2 mi. S.W. Flat Rock. Abundant. ",,AL,Jackson,34.74611,-85.72833,SERNEC,,1,34.74611,-85.72833,UNA,,7.12,6.82,6.97,,,,Yes,334.56,Use whole sample,Vacuum centrifuge then add 25 uL,,
E70,Symphyotrichum concolor,,,,Kral 37668,UNA00044887,"Rays violet, very vivid; sandy clay of open oak-pine woods by Ala 177, 6 mi. SSE Ider",,AL,Dekalb,34.64056,-85.64555,SERNEC,,1,34.64056,-85.64555,UNA,,13.4,13.1,13.25,,,,,1629.75,37.73584906,Vacuum centrifuge then add 25 uL,,
E71,Symphyotrichum concolor,,,,Harper 4098,UNA00044886,Pine woods between South-port and Orange Beach,,AL,Baldwin,30.75,-87.76667,SERNEC,,1,30.75,-87.76667,UNA,,10.8,10.4,10.6,,,,,1303.8,47.16981132,Vacuum centrifuge then add 25 uL,,
E72,Symphyotrichum concolor,,,Low QC,Allison 12565,UNA00057646,"Ca. 9.2 mi. NE of Centreville, ca. 0.8 mi. W of Bulldog Bend Bridge. ""Goat Glade South,"" Ketona Dolomite outcrop above the right (W) bank of the Little Cahaba River. ",,AL,Bibb,33.05639,-87.03722,SERNEC,,1,33.05639,-87.03722,UNA,,7.61,7.31,7.46,,,,,917.58,67.02412869,Vacuum centrifuge then add 25 uL,,
E73,Symphyotrichum concolor,,,Low QC,Diamond 14876,UNA00064333,Un-numbered dirt road approx. .2 mile east of Bethesda Church. Dry sandy longlead pine woods. Loango Quad.,,AL,Covington,31.2963889,-85.331667,SERNEC,,1,31.2963889,-85.331667,UNA,,4.22,4.4,4.31,,,,,530.13,116.0092807,Vacuum centrifuge then add 25 uL,,
E74,Symphyotrichum ericoides,,,,Harper 3950,UNA00044951,Vacant lot of 10th avenue and 10th street,,AL,Tuscaloosa,33.2095614,-87.5675258,County centroid,,1,,,UNA,,2.31,2.35,2.33,,,,,286.59,Use whole sample,Vacuum centrifuge then add 25 uL,,
E75,Symphyotrichum ericoides,Misidentified,Folk,,Naugle G 188.3,UNA00044949,About 8.4 miles south of Eutaw on U.S. Hwy 43. Along fence row. Typical black belt soil.,,AL,Greene,32.8620514,-87.9915392,County centroid,,1,,,UNA,,6.58,6.39,6.485,,,,Yes,797.655,Use whole sample,Vacuum centrifuge then add 25 uL,,
E76,Symphyotrichum ericoides,,,,Williams 150,UNA00044949,"Common along trial in sandy red clay, flra. blue. Tanglewood 9-25-65",,AL,Hale,32.7412417,-87.6561668,County centroid,,1,,,UNA,,14.9,14.8,14.85,,,,,1826.55,33.67003367,Vacuum centrifuge then add 25 uL,,
